ID	SVM score	Prediction
BAB81434.1	-0.71935881	non DNA-binding protein
BAB81517.1	2.505125	DNA-binding protein
BAB81578.1	-1.030067	non DNA-binding protein
BAB81655.1	-2.2095823	non DNA-binding protein
BAB81759.1	1.5682935	DNA-binding protein
BAB81806.1	-2.4639961	non DNA-binding protein
BAB81947.1	-0.56275387	non DNA-binding protein
BAB81951.1	-0.74330836	non DNA-binding protein
BAB81964.1	-2.1862586	non DNA-binding protein
BAB82088.1	-0.40564248	non DNA-binding protein
BAB82137.1	-3.1956385	non DNA-binding protein
BAB82221.1	-2.0850323	non DNA-binding protein
BAB82235.1	-1.6428411	non DNA-binding protein
BAB82240.1	0.79027197	DNA-binding protein
BAB82261.1	-1.0760594	non DNA-binding protein
BAB82313.1	-0.69290569	non DNA-binding protein
BAD46776.1	1.0025059	DNA-binding protein
BAD46933.1	-1.1651738	non DNA-binding protein
BAD46996.1	-0.99138618	non DNA-binding protein
BAD47139.1	-0.12585669	non DNA-binding protein
BAD47283.1	-1.1420938	non DNA-binding protein
BAD47341.1	-0.60885862	non DNA-binding protein
BAD47366.1	-1.6251602	non DNA-binding protein
BAD47461.1	-0.46144719	non DNA-binding protein
BAD47473.1	-0.27114517	non DNA-binding protein
BAD47493.1	0.88809255	DNA-binding protein
BAD47673.1	0.64745246	DNA-binding protein
BAD47735.1	-0.95649944	non DNA-binding protein
BAD47797.1	2.8312063	DNA-binding protein
BAD47816.1	-0.77837574	non DNA-binding protein
BAD47882.1	0.3269673	DNA-binding protein
BAD47886.1	-0.50605442	non DNA-binding protein
BAD47935.1	-1.7242805	non DNA-binding protein
BAD47956.1	-1.1294028	non DNA-binding protein
BAD48145.1	0.29869341	DNA-binding protein
BAD48373.1	-1.5424187	non DNA-binding protein
BAD48377.1	-1.9782761	non DNA-binding protein
BAD48405.1	-1.2688191	non DNA-binding protein
BAD48439.1	-1.3037708	non DNA-binding protein
BAD48451.1	-0.25639124	non DNA-binding protein
BAD48563.1	-2.3031593	non DNA-binding protein
BAD48704.1	-1.1531213	non DNA-binding protein
BAD48721.1	-1.3169857	non DNA-binding protein
BAD48799.1	-0.7127469	non DNA-binding protein
BAD49033.1	-0.41214819	non DNA-binding protein
BAD49068.1	-1.4826178	non DNA-binding protein
BAD49107.1	-1.5092078	non DNA-binding protein
BAD49109.1	-1.5817664	non DNA-binding protein
BAD49112.1	-3.1434377	non DNA-binding protein
BAD49163.1	-1.0497084	non DNA-binding protein
BAD49244.1	-1.7826193	non DNA-binding protein
BAD49290.1	-1.9986893	non DNA-binding protein
BAD49291.1	-0.10374949	non DNA-binding protein
BAD49311.1	-0.80847484	non DNA-binding protein
BAD49350.1	-0.80821502	non DNA-binding protein
BAD49491.1	-0.60731237	non DNA-binding protein
BAD49830.1	-0.6306388	non DNA-binding protein
BAD49857.1	-0.24922914	non DNA-binding protein
BAD49867.1	-1.4189169	non DNA-binding protein
BAD49947.1	0.51664333	DNA-binding protein
BAD49971.1	-1.6568306	non DNA-binding protein
BAD50024.1	-1.8625808	non DNA-binding protein
BAD50077.1	-0.83503374	non DNA-binding protein
BAD50249.1	0.39233618	DNA-binding protein
BAD50292.1	0.10478922	DNA-binding protein
BAD50325.1	-0.52377265	non DNA-binding protein
BAD50333.1	-0.57919533	non DNA-binding protein
BAD50347.1	-2.1104169	non DNA-binding protein
BAD50362.1	-1.9274055	non DNA-binding protein
BAD50368.1	-2.6524858	non DNA-binding protein
BAD50513.1	0.23960332	DNA-binding protein
BAD50613.1	-0.21665008	non DNA-binding protein
BAD50812.1	2.4930509	DNA-binding protein
BAD50881.1	-0.50110047	non DNA-binding protein
BAD50894.1	-2.4765629	non DNA-binding protein
BAD51190.1	-1.1413114	non DNA-binding protein
BAD51345.1	-1.8293845	non DNA-binding protein
BAF39275.1	-1.0872365	non DNA-binding protein
BAF39332.1	-0.64057427	non DNA-binding protein
BAF39338.1	-1.7413067	non DNA-binding protein
BAF39341.1	0.80901556	DNA-binding protein
BAF39531.1	-2.1155553	non DNA-binding protein
BAF39681.1	-2.2792558	non DNA-binding protein
BAF39774.1	-2.318124	non DNA-binding protein
BAF39797.1	-1.4238094	non DNA-binding protein
BAF39849.1	-4.1109254	non DNA-binding protein
BAF40001.1	-1.5763701	non DNA-binding protein
BAF40134.1	-0.84544901	non DNA-binding protein
BAF40137.1	-5.0205191	non DNA-binding protein
BAF40144.1	-3.2463477	non DNA-binding protein
BAF40253.1	0.075471267	DNA-binding protein
AAO45299.1	-0.3285915	non DNA-binding protein
AAO45301.1	0.42998308	DNA-binding protein
AAO45319.1	-2.5212336	non DNA-binding protein
AAO45320.1	-0.32183741	non DNA-binding protein
AAO45328.1	-1.022803	non DNA-binding protein
AAO45330.1	-1.2432633	non DNA-binding protein
AAO45334.1	-1.1081178	non DNA-binding protein
AAO75115.1	-1.9221892	non DNA-binding protein
AAO75235.1	-0.60180438	non DNA-binding protein
AAO75332.1	-0.75853071	non DNA-binding protein
AAO75349.1	0.97589373	DNA-binding protein
AAO75354.1	-1.0967663	non DNA-binding protein
AAO75363.1	-1.1006001	non DNA-binding protein
AAO75368.1	-0.4956323	non DNA-binding protein
AAO75504.1	-0.73612096	non DNA-binding protein
AAO75513.1	0.84444877	DNA-binding protein
AAO75534.1	-1.2340499	non DNA-binding protein
AAO75618.1	-1.4554347	non DNA-binding protein
AAO75748.1	-1.7828622	non DNA-binding protein
AAO75869.1	-3.3863414	non DNA-binding protein
AAO75886.1	-0.27268493	non DNA-binding protein
AAO75926.1	-1.7197869	non DNA-binding protein
AAO75927.1	1.3975705	DNA-binding protein
AAO75949.1	0.53198837	DNA-binding protein
AAO75952.1	-0.6217158	non DNA-binding protein
AAO75955.1	0.86258557	DNA-binding protein
AAO75961.1	-0.24363713	non DNA-binding protein
AAO76009.1	-0.10790658	non DNA-binding protein
AAO76178.1	-0.37239458	non DNA-binding protein
AAO76242.1	-0.14531226	non DNA-binding protein
AAO76408.1	-0.19178432	non DNA-binding protein
AAO76416.1	0.32824102	DNA-binding protein
AAO76456.1	-0.68092663	non DNA-binding protein
AAO76542.1	1.662831	DNA-binding protein
AAO76568.1	-0.15501728	non DNA-binding protein
AAO76721.1	-0.13753886	non DNA-binding protein
AAO76774.1	-4.1739887	non DNA-binding protein
AAO76891.1	0.67311067	DNA-binding protein
AAO77002.1	0.20241005	DNA-binding protein
AAO77277.1	-1.1770019	non DNA-binding protein
AAO77312.1	0.5144064	DNA-binding protein
AAO77335.1	-0.72771447	non DNA-binding protein
AAO77385.1	-0.43128165	non DNA-binding protein
AAO77495.1	-1.1026577	non DNA-binding protein
AAO77525.1	-0.80162119	non DNA-binding protein
AAO77633.1	-2.8886854	non DNA-binding protein
AAO77642.1	-0.66775283	non DNA-binding protein
AAO77791.1	-0.60874639	non DNA-binding protein
AAO77804.1	-2.5620528	non DNA-binding protein
AAO78103.1	-1.124362	non DNA-binding protein
AAO78251.1	-2.0193772	non DNA-binding protein
AAO78321.1	-3.3866123	non DNA-binding protein
AAO78429.1	-0.9144599	non DNA-binding protein
AAO78489.1	-0.10695998	non DNA-binding protein
AAO78506.1	-1.9395146	non DNA-binding protein
AAO78734.1	-1.9253166	non DNA-binding protein
AAO78841.1	1.9343974	DNA-binding protein
AAO78920.1	-4.6945794	non DNA-binding protein
AAO78955.1	1.6119628	DNA-binding protein
AAO79141.1	0.12423882	DNA-binding protein
AAO79326.1	-1.4978092	non DNA-binding protein
AAO79454.1	1.4066164	DNA-binding protein
AAO79465.1	0.23287212	DNA-binding protein
AAO79486.1	1.4546546	DNA-binding protein
AAO79524.1	-0.49421293	non DNA-binding protein
AAO79539.1	-2.579471	non DNA-binding protein
AAO79574.1	-0.43249361	non DNA-binding protein
AAO79603.1	0.24340642	DNA-binding protein
AAO79616.1	0.9312658	DNA-binding protein
AAO79632.1	-1.8545329	non DNA-binding protein
AAO79637.1	-1.9361605	non DNA-binding protein
AAO79667.1	-2.7876703	non DNA-binding protein
AAO79668.1	-2.7969154	non DNA-binding protein
AAO79701.1	-0.65136696	non DNA-binding protein
AAO79703.1	-1.4166869	non DNA-binding protein
AAO79754.1	-0.44895457	non DNA-binding protein
ADX07083.1	-1.2450004	non DNA-binding protein
ADX07086.1	-1.3664908	non DNA-binding protein
ADX07088.1	-0.25304086	non DNA-binding protein
ABR37754.1	1.1181625	DNA-binding protein
ABR37869.1	-1.0605611	non DNA-binding protein
ABR37958.1	-0.68613606	non DNA-binding protein
ABR37974.1	-0.60149376	non DNA-binding protein
ABR38040.1	-3.2253464	non DNA-binding protein
ABR38101.1	-2.0218334	non DNA-binding protein
ABR38138.1	3.1882266	DNA-binding protein
ABR38198.1	-2.6071313	non DNA-binding protein
ABR38301.1	-1.3929207	non DNA-binding protein
ABR38430.1	-0.71792021	non DNA-binding protein
ABR38477.1	0.74066406	DNA-binding protein
ABR38481.1	-2.9874395	non DNA-binding protein
ABR38550.1	0.19579259	DNA-binding protein
ABR38554.1	-1.4235157	non DNA-binding protein
ABR38665.1	-2.6166557	non DNA-binding protein
ABR38709.1	0.037867046	DNA-binding protein
ABR38727.1	-0.72362388	non DNA-binding protein
ABR38855.1	1.5682009	DNA-binding protein
ABR38994.1	-1.3324893	non DNA-binding protein
ABR39019.1	1.8746165	DNA-binding protein
ABR39041.1	-1.7387579	non DNA-binding protein
ABR39091.1	1.1014715	DNA-binding protein
ABR39146.1	-0.84037915	non DNA-binding protein
ABR39368.1	0.066533874	DNA-binding protein
ABR39390.1	-1.627091	non DNA-binding protein
ABR39562.1	-1.1669316	non DNA-binding protein
ABR39567.1	0.40772712	DNA-binding protein
ABR39605.1	-0.33667537	non DNA-binding protein
ABR39743.1	-1.5409663	non DNA-binding protein
ABR39747.1	-0.27217145	non DNA-binding protein
ABR39940.1	-2.7696669	non DNA-binding protein
ABR39944.1	1.7825184	DNA-binding protein
ABR39999.1	0.24494429	DNA-binding protein
ABR40030.1	0.24347561	DNA-binding protein
ABR40110.1	-0.6432059	non DNA-binding protein
ABR40116.1	-0.64330273	non DNA-binding protein
ABR40166.1	-2.1784919	non DNA-binding protein
ABR40190.1	-0.71530301	non DNA-binding protein
ABR40191.1	-1.1401353	non DNA-binding protein
ABR40227.1	0.7055467	DNA-binding protein
ABR40234.1	3.2715937	DNA-binding protein
ABR40235.1	-2.446795	non DNA-binding protein
ABR40286.1	-1.8595847	non DNA-binding protein
ABR40389.1	-1.0529972	non DNA-binding protein
ABR40651.1	-1.9481165	non DNA-binding protein
ABR40662.1	-3.1645089	non DNA-binding protein
ABR40667.1	-1.8876757	non DNA-binding protein
ABR40703.1	-0.49466131	non DNA-binding protein
ABR40704.1	-1.4607405	non DNA-binding protein
ABR40734.1	-1.940682	non DNA-binding protein
ABR40761.1	-0.7525047	non DNA-binding protein
ABR40763.1	0.53427674	DNA-binding protein
ABR40764.1	-1.1329421	non DNA-binding protein
ABR40770.1	-2.1336941	non DNA-binding protein
ABR40774.1	-2.2560138	non DNA-binding protein
ABR40837.1	-0.48876616	non DNA-binding protein
ABR40844.1	-0.0422509	non DNA-binding protein
ABR40923.1	-0.62594807	non DNA-binding protein
ABR41020.1	-1.3677222	non DNA-binding protein
ABR41028.1	-2.1228514	non DNA-binding protein
ABR41040.1	0.13751543	DNA-binding protein
ABR41059.1	-1.6353147	non DNA-binding protein
ABR41111.1	-1.8117878	non DNA-binding protein
ABR41113.1	-0.53497063	non DNA-binding protein
ABR41162.1	-1.2028502	non DNA-binding protein
ABR41167.1	-3.9684046	non DNA-binding protein
ABR41185.1	0.087048088	DNA-binding protein
ABR41358.1	1.1255126	DNA-binding protein
ABR41421.1	-1.8775398	non DNA-binding protein
ABR41425.1	-0.66135957	non DNA-binding protein
ABR41462.1	-0.14646269	non DNA-binding protein
ABR41672.1	-0.019412744	non DNA-binding protein
ABR41784.1	-0.54344817	non DNA-binding protein
ABR41878.1	-0.72762888	non DNA-binding protein
ABR41901.1	-0.97608299	non DNA-binding protein
ABR41986.1	-2.7659343	non DNA-binding protein
ABR42054.1	-1.6862871	non DNA-binding protein
ABR42404.1	-1.1977995	non DNA-binding protein
ABR42411.1	0.15135177	DNA-binding protein
ABR42492.1	-1.7159301	non DNA-binding protein
ABR42493.1	-0.32183741	non DNA-binding protein
ABR42500.1	-1.022803	non DNA-binding protein
ABR42506.1	-1.1081178	non DNA-binding protein
ABR42570.1	0.42043304	DNA-binding protein
ABR42595.1	-0.25324304	non DNA-binding protein
ABR42612.1	-1.8178125	non DNA-binding protein
ABR42618.1	-2.4329046	non DNA-binding protein
ABR42634.1	-2.4483921	non DNA-binding protein
ABR42639.1	0.48933116	DNA-binding protein
ABR42670.1	-0.28174854	non DNA-binding protein
ABR42675.1	-0.44604756	non DNA-binding protein
ABR42722.1	1.0379392	DNA-binding protein
ABR42790.1	-1.2500521	non DNA-binding protein
ABR42867.1	1.4861952	DNA-binding protein
ABR42869.1	-0.7883027	non DNA-binding protein
ABR42982.1	-4.2294208	non DNA-binding protein
ABR43183.1	-1.142503	non DNA-binding protein
ABR43217.1	-1.5200522	non DNA-binding protein
ABR43243.1	1.4034561	DNA-binding protein
ABR43257.1	-1.3251209	non DNA-binding protein
ABR43511.1	-2.2976907	non DNA-binding protein
ABR43628.1	0.42260924	DNA-binding protein
ABR43702.1	1.169796	DNA-binding protein
ABR43738.1	1.4771455	DNA-binding protein
ABR43787.1	-1.3794262	non DNA-binding protein
ABR43898.1	-0.014120771	non DNA-binding protein
ABR43912.1	-1.0368097	non DNA-binding protein
ABR43928.1	0.037643307	DNA-binding protein
ABR43930.1	-0.60300834	non DNA-binding protein
ABR44113.1	0.66785021	DNA-binding protein
ABR44141.1	-0.9045978	non DNA-binding protein
ABR44154.1	0.18695878	DNA-binding protein
ABR44258.1	-0.076505122	non DNA-binding protein
ABR44339.1	-0.93880556	non DNA-binding protein
ABR44753.1	-2.2852121	non DNA-binding protein
ABR44754.1	-0.72093541	non DNA-binding protein
ABR44853.1	0.89471765	DNA-binding protein
ABR45019.1	-1.0174293	non DNA-binding protein
ABR45022.1	-1.3608878	non DNA-binding protein
ABR45196.1	-0.85553571	non DNA-binding protein
ABR45208.1	0.36789035	DNA-binding protein
ABR45295.1	-1.6587333	non DNA-binding protein
ABR45340.1	0.23582265	DNA-binding protein
ABR45380.1	-0.61709176	non DNA-binding protein
ABR45382.1	-0.028311337	non DNA-binding protein
ABR45438.1	-2.4590309	non DNA-binding protein
ABR45477.1	0.156226	DNA-binding protein
ABR45485.1	-0.8076007	non DNA-binding protein
ABR45499.1	-1.2226203	non DNA-binding protein
ABR45574.1	-0.42974094	non DNA-binding protein
ABJ68898.1	0.087059397	DNA-binding protein
ABJ69028.1	1.4542208	DNA-binding protein
ABJ69036.1	-1.6637525	non DNA-binding protein
ABJ69054.1	-1.2147715	non DNA-binding protein
ABJ69058.1	-1.8232287	non DNA-binding protein
ABJ69072.1	-1.4594537	non DNA-binding protein
ABJ69104.1	-0.25289335	non DNA-binding protein
ABJ69177.1	-1.1610234	non DNA-binding protein
ABJ69270.1	0.69497606	DNA-binding protein
ABJ69393.1	1.0328562	DNA-binding protein
ABJ69394.1	0.67071472	DNA-binding protein
ABJ69422.1	-3.0297066	non DNA-binding protein
ABJ69525.1	-6.2580856	non DNA-binding protein
ABJ69532.1	-0.74938956	non DNA-binding protein
ABJ69582.1	1.7864706	DNA-binding protein
ABJ69587.1	1.8726137	DNA-binding protein
ABJ69588.1	-3.6729737	non DNA-binding protein
ABJ69651.1	-1.1268848	non DNA-binding protein
ABJ69833.1	-1.5280571	non DNA-binding protein
ABJ70122.1	1.0146921	DNA-binding protein
ABJ70147.1	0.020900739	DNA-binding protein
ABJ70163.1	-0.64951628	non DNA-binding protein
ABJ70243.1	1.7197234	DNA-binding protein
ABJ70252.1	1.2843092	DNA-binding protein
ABJ70287.1	-0.41821061	non DNA-binding protein
ABJ70320.1	1.0034004	DNA-binding protein
ABJ70322.1	2.0824139	DNA-binding protein
ABJ70333.1	-0.82009043	non DNA-binding protein
ABJ70437.1	-1.6973746	non DNA-binding protein
ABJ70509.1	-1.440386	non DNA-binding protein
ABJ70533.1	-1.6536127	non DNA-binding protein
ABJ70540.1	-0.98070185	non DNA-binding protein
ABJ70545.1	-1.8041716	non DNA-binding protein
ABJ70570.1	-2.1617141	non DNA-binding protein
ABJ70587.1	0.64812272	DNA-binding protein
ABJ70602.1	0.22331465	DNA-binding protein
ABJ70623.1	-1.1691554	non DNA-binding protein
ABJ70625.1	0.65414386	DNA-binding protein
ABJ70835.1	-0.71575401	non DNA-binding protein
ABJ70956.1	-1.2170849	non DNA-binding protein
ABJ70964.1	-0.97395615	non DNA-binding protein
ABJ71009.1	-0.3841282	non DNA-binding protein
ABJ71012.1	-2.1395134	non DNA-binding protein
ABJ71082.1	1.0254118	DNA-binding protein
ABJ71094.1	-0.45987911	non DNA-binding protein
ABJ71109.1	-3.1302526	non DNA-binding protein
ABJ71153.1	-0.5318996	non DNA-binding protein
ABJ71166.1	-1.844785	non DNA-binding protein
ABJ71203.1	-0.078607788	non DNA-binding protein
ABJ71282.1	-0.055528594	non DNA-binding protein
ABJ71290.1	-1.3257774	non DNA-binding protein
ABJ71359.1	-0.52168338	non DNA-binding protein
ABJ71360.1	-1.2923678	non DNA-binding protein
ABJ71433.1	-1.638017	non DNA-binding protein
ABJ71553.1	-1.4881628	non DNA-binding protein
ABJ71588.1	-3.6136014	non DNA-binding protein
ACR73864.1	-1.6208235	non DNA-binding protein
ACR73909.1	-1.027988	non DNA-binding protein
ACR73985.1	-2.5428838	non DNA-binding protein
ACR74037.1	-0.5245461	non DNA-binding protein
ACR74128.1	0.59250391	DNA-binding protein
ACR74141.1	-0.004187412	non DNA-binding protein
ACR74364.1	-0.4573093	non DNA-binding protein
ACR74391.1	-1.0476051	non DNA-binding protein
ACR74443.1	-1.1604189	non DNA-binding protein
ACR74466.1	1.0112659	DNA-binding protein
ACR74469.1	0.4202216	DNA-binding protein
ACR74492.1	-2.2957391	non DNA-binding protein
ACR74624.1	0.3455025	DNA-binding protein
ACR74767.1	1.2051695	DNA-binding protein
ACR74822.1	0.23088501	DNA-binding protein
ACR74841.1	-0.16841489	non DNA-binding protein
ACR74926.1	-2.3660975	non DNA-binding protein
ACR74993.1	-2.3549218	non DNA-binding protein
ACR75097.1	-0.16416484	non DNA-binding protein
ACR75104.1	-3.1619595	non DNA-binding protein
ACR75113.1	-1.9205882	non DNA-binding protein
ACR75140.1	-0.57913874	non DNA-binding protein
ACR75213.1	-0.37743447	non DNA-binding protein
ACR75215.1	0.43699921	DNA-binding protein
ACR75269.1	-1.8458201	non DNA-binding protein
ACR75284.1	-0.29142638	non DNA-binding protein
ACR75337.1	-3.2077044	non DNA-binding protein
ACR75342.1	-3.2316259	non DNA-binding protein
ACR75469.1	-0.42343731	non DNA-binding protein
ACR75480.1	-1.8203161	non DNA-binding protein
ACR75506.1	-1.3900559	non DNA-binding protein
ACR75520.1	-1.9473199	non DNA-binding protein
ACR75523.1	-1.3642556	non DNA-binding protein
ACR75589.1	-1.735609	non DNA-binding protein
ACR75598.1	-3.1067518	non DNA-binding protein
ACR75605.1	-2.33362	non DNA-binding protein
ACR75611.1	-2.1567377	non DNA-binding protein
ACR75625.1	-2.4027038	non DNA-binding protein
ACR75643.1	-0.34249662	non DNA-binding protein
ACR75927.1	-0.70329908	non DNA-binding protein
ACR75929.1	-2.620692	non DNA-binding protein
ACR76039.1	-1.6758009	non DNA-binding protein
ACR76118.1	-2.2343256	non DNA-binding protein
ACR76226.1	-2.0279948	non DNA-binding protein
ACR76236.1	-2.1564894	non DNA-binding protein
ACR76307.1	-0.80662883	non DNA-binding protein
ACR76345.1	-0.46113049	non DNA-binding protein
ACR76396.1	-2.4848956	non DNA-binding protein
ACR76513.1	-0.16292627	non DNA-binding protein
ACR76514.1	-0.7876203	non DNA-binding protein
ACR76539.1	-3.0488839	non DNA-binding protein
ACR76735.1	-0.48728176	non DNA-binding protein
ACR76780.1	-3.188356	non DNA-binding protein
ACR76924.1	-2.7960678	non DNA-binding protein
ACR77073.1	-0.36198032	non DNA-binding protein
ACR77358.1	1.6481065	DNA-binding protein
ACR77372.1	-2.0013723	non DNA-binding protein
ACR77388.1	-0.67668641	non DNA-binding protein
ACR77391.1	-2.4789595	non DNA-binding protein
ACI18359.1	-0.43300696	non DNA-binding protein
ACI18382.1	-0.55318109	non DNA-binding protein
ACI18531.1	-3.5978229	non DNA-binding protein
ACI18920.1	-2.0000017	non DNA-binding protein
ACI18931.1	0.30684914	DNA-binding protein
ACI18939.1	-0.77450587	non DNA-binding protein
ACI18973.1	-0.38417022	non DNA-binding protein
ACI18974.1	-0.84926995	non DNA-binding protein
ACI19305.1	-1.243678	non DNA-binding protein
ACI19317.1	-0.50531485	non DNA-binding protein
ACI19482.1	0.50009143	DNA-binding protein
ACI19695.1	-1.2785151	non DNA-binding protein
ACI19718.1	-1.1398447	non DNA-binding protein
ACI19766.1	-3.8400972	non DNA-binding protein
ACI19783.1	-1.7994628	non DNA-binding protein
ACI19860.1	1.9774229	DNA-binding protein
ACI19925.1	0.89827114	DNA-binding protein
ACI19927.1	1.9310615	DNA-binding protein
ACI19990.1	-1.1795804	non DNA-binding protein
ACI19991.1	-2.7933143	non DNA-binding protein
ACI20077.1	1.0245941	DNA-binding protein
ACI20110.1	-1.195722	non DNA-binding protein
ACZ23695.1	0.13696538	DNA-binding protein
ACZ23724.1	-1.4582151	non DNA-binding protein
ACZ23767.1	0.14617198	DNA-binding protein
ACZ23772.1	-2.4511724	non DNA-binding protein
ACZ23779.1	-1.9327915	non DNA-binding protein
ACZ23780.1	-1.1751498	non DNA-binding protein
