Taxid	Assembly	Specie	assembly_level	To_retrieve_MassSpec	Specie_name_orig_dataset
1007084	GCA_000204585.1	Candidatus^Nitrosarchaeum^limnium^SFB1	Chromosome		
1006005	GCA_000204925.1	Metallosphaera^cuprina^Ar-4	Complete Genome		
342949	GCA_000211475.1	Pyrococcus^sp.^NA2	Complete Genome		
563177	GCA_000213215.1	Acidianus^hospitalis^W1	Complete Genome		
2189	GCA_000214415.1	Methanotorris^igneus^Kol^5	Complete Genome		
868131	GCA_000214725.1	Methanobacterium^paludis	Complete Genome		
430914	GCA_000215915.3	Halorhabdus^tiamatea^SARL4B	Contig		
1008460	GCA_000215995.1	Pyrococcus^yayanosii^CH1	Complete Genome		
387343	GCA_000217715.1	Halopiger^xanaduensis^SH-6	Complete Genome		
39669	GCA_000217995.1	Methanosalsum^zhilinae^DSM^4017	Complete Genome		
1088740	GCA_000220175.2	Nitrosarchaeum^koreense^MY1	Contig		
889962	GCA_000220355.1	Candidatus^Nanosalinarum^sp.^J07AB56	Scaffold		
889948	GCA_000220375.1	Candidatus^Nanosalina^sp.^J07AB43	Scaffold		
1042877	GCA_000221185.1	Thermococcus^sp.^4557	Complete Genome		
54252	GCA_000223395.1	Pyrolobus^fumarii^1A	Complete Genome		
51589	GCA_000223905.1	Haloarcula^hispanica^ATCC^33960	Complete Genome		
756883	GCA_000224475.1	halophilic^archaeon^DL31	Complete Genome		
229731	GCA_000226975.3	Halobiforma^lacisalsi^AJ5	Complete Genome		
1089683	GCA_000230485.1	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold		
44930	GCA_000230715.3	Natronobacterium^gregoryi^SP2	Complete Genome		
69525	GCA_000230735.3	Natrinema^pellirubrum^DSM^15624	Complete Genome		
1104324	GCA_000234805.1	Pyrobaculum^ferrireducens	Complete Genome		
301375	GCA_000235565.1	Methanosaeta^harundinacea^6Ac	Complete Genome		
263906	GCA_000235685.3	Methanolinea^tarda^NOBI-1	Chromosome		
1072681	GCA_000236195.2	Candidatus^Haloredivivus^sp.^G17	Contig		
293091	GCA_000237865.1	Haloquadratum^walsbyi^C23	Complete Genome		
1170320	GCA_000242875.3	Candidatus^Nitrosopumilus^salaria^BD31	Contig		
2315	GCA_000243255.1	Methanoplanus^limicola^DSM^2279	Chromosome		
1111107	GCA_000243315.1	Metallosphaera^yellowstonensis^MK1	Scaffold		
213185	GCA_000243455.2	Methanotorris^formicicus^Mc-S-70	Contig		
274854	GCA_000246735.1	uncultured^Candidatus^Poseidoniales^archaeon	Chromosome		
1175444	GCA_000251105.1	Methanocella^conradii^HZ254	Complete Genome		
2271	GCA_000253055.1	Thermoproteus^tenax^Kra^1	Complete Genome		
683846	GCA_000258425.1	Fervidicoccus^fontis^Kam940	Complete Genome		
54076	GCA_000258515.1	Thermococcus^zilligii^AN1	Contig		
332168	GCA_000259215.1	Halococcus^hamelinensis^100A6	Contig		
1183377	GCA_000263735.1	Pyrococcus^sp.^ST04	Complete Genome		
1200300	GCA_000264495.1	Thermogladius^calderae^1633	Complete Genome		
163003	GCA_000265525.1	Thermococcus^cleftensis	Complete Genome		
311458	GCA_000270325.1	Candidatus^Caldiarchaeum^subterraneum	Complete Genome		
2201	GCA_000275865.1	Methanofollis^liminatans^DSM^4140	Chromosome		
406552	GCA_000281695.1	Natrinema^sp.^J7-2	Complete Genome		
693851	GCA_000283335.1	Halogranum^salarium^B-1	Contig		
1194088	GCA_000296615.1	Halorubrum^sp.^T3	Scaffold		
1229909	GCA_000299395.1	Candidatus^Nitrosopumilus^sediminis	Complete Genome		
2162	GCA_000302455.1	Methanobacterium^formicicum^DSM^3637	Contig		
497727	GCA_000303155.1	Candidatus^Nitrososphaera^gargensis^Ga9.2	Complete Genome		
83986	GCA_000304355.2	Methanoculleus^bourgensis^MS2	Complete Genome		
420950	GCA_000306725.1	Methanolobus^psychrophilus^R15	Complete Genome		
1220534	GCA_000309865.1	Methanobacterium^sp.^Maddingley^MBC34	Contig		
200415	GCA_000317795.1	Caldisphaera^lagunensis^DSM^15908	Complete Genome		
882104	GCA_000327485.1	Methanoregula^formicica^SMSP	Complete Genome		
673860	GCA_000327505.1	Aciduliprofundum^sp.^MAR08-339	Complete Genome		
387341	GCA_000328525.1	Halovivax^ruber^XH-70	Complete Genome		
101192	GCA_000328665.1	Methanomethylovorans^hollandica^DSM^15978	Complete Genome		
29288	GCA_000328685.1	Natronococcus^occultus^SP4	Complete Genome		
1232219	GCA_000334895.1	Halococcus^agarilyticus	Contig		
29282	GCA_000336635.1	Haloarcula^japonica^DSM^6131	Contig		
2250	GCA_000336695.1	Halococcus^morrhuae^DSM^1307	Contig		
335952	GCA_000336715.1	Halococcus^thailandensis^JCM^13552	Contig		
403191	GCA_000336755.1	Haloferax^elongans^ATCC^BAA-1513	Contig		
416585	GCA_000336875.1	Halorubrum^californiensis^DSM^19288	Contig		
43776	GCA_000336895.1	Haloarcula^argentinensis^DSM^12282	Contig		
62319	GCA_000336915.1	Halococcus^saccharolyticus^DSM^5350	Contig		
36738	GCA_000336935.1	Halococcus^salifodinae^DSM^8989	Contig		
302484	GCA_000336955.1	Haloferax^larsenii^JCM^13917	Contig		
368623	GCA_000336995.1	Halorubrum^aidingense^JCM^13560	Contig		
368454	GCA_000337015.1	Halorubrum^arcis^JCM^13916	Contig		
64713	GCA_000337035.1	Halorubrum^coriense^DSM^10284	Contig		
411361	GCA_000337095.1	Halogeometricum^pallidum^JCM^14848	Contig		
68911	GCA_000337135.1	Natrialba^chahannaoensis^JCM^10990	Contig		
88724	GCA_000337195.1	Natrinema^versiforme^JCM^10478	Contig		
253107	GCA_000337215.1	Natronolimnobius^innermongolicus^JCM^12255	Contig		
63128	GCA_000337235.1	Natronorubrum^tibetense^GA33	Contig		
478441	GCA_000337355.1	Halorubrum^kocurii^JCM^14978	Contig		
368624	GCA_000337375.1	Halorubrum^lipolyticum^DSM^21995	Contig		
119434	GCA_000337415.1	Halorubrum^tebenquichense^DSM^14210	Contig		
171164	GCA_000337455.1	Halosimplex^carlsbadense^2-9-1	Contig		
370323	GCA_000337475.1	Haloterrigena^limicola^JCM^13563	Contig		
504937	GCA_000337495.1	Haloterrigena^salina^JCM^13891	Contig		
332953	GCA_000337515.1	Halovivax^asiaticus^JCM^14624	Contig		
64602	GCA_000337555.1	Natrialba^asiatica^DSM^12278	Contig		
123783	GCA_000337575.1	Natrialba^hulunbeirensis^JCM^10989	Contig		
160846	GCA_000337595.1	Natrialba^taiwanensis^DSM^12281	Contig		
69527	GCA_000337615.1	Natrinema^pallidum^DSM^3751	Contig		
44470	GCA_000337675.1	Natronococcus^amylolyticus^DSM^10524	Contig		
413812	GCA_000337695.1	Natronococcus^jeotgali^DSM^18795	Contig		
61858	GCA_000337715.1	Natronorubrum^bangense^JCM^10635	Contig		
388259	GCA_000337735.1	Natronorubrum^sulfidifaciens^JCM^14089	Contig		
28442	GCA_000337775.1	Haloarcula^vallismortis^ATCC^29715	Contig		
403181	GCA_000337815.1	Haloferax^mucosum^ATCC^BAA-1512	Contig		
255616	GCA_000337835.1	Haloferax^sulfurifontis^ATCC^BAA-897	Contig		
130048	GCA_000337895.1	Halobiforma^nitratireducens^JCM^10879	Contig		
2248	GCA_000337915.1	Halorubrum^saccharovorum^DSM^1137	Contig		
1198115	GCA_000349625.1	Thaumarchaeota^archaeon^SCGC^AB-539-E09	Contig		
1198116	GCA_000349645.1	Thermoplasmatales^archaeon^SCGC^AB-539-N05	Contig		
1242866	GCA_000349685.1	Thermoplasmatales^archaeon^SCGC^AB-540-F20	Contig		
1054217	GCA_000350305.1	Thermoplasmatales^archaeon^BRNA1	Complete Genome		
667126	GCA_000363885.1	Methanocaldococcus^villosus^KIN24-T80	Contig		
1242690	GCA_000364885.1	Thermoplasmatales^archaeon^SCGC^AB-539-C06	Contig		
913335	GCA_000372505.1	Marine^Group^III^euryarchaeote^SCGC^AAA007-O11	Contig		
1130301	GCA_000375605.1	crenarchaeote^SCGC^AAA261-G18	Contig		
1130318	GCA_000376025.1	euryarchaeote^SCGC^AAA261-G15	Contig		
1131268	GCA_000376045.1	Marine^Group^II^euryarchaeote^SCGC^AB-629-J06	Contig		
2186	GCA_000376965.1	Methanothermococcus^thermolithotrophicus^DSM^2095	Contig		
1046938	GCA_000380865.1	Candidatus^Aenigmarchaeota^archaeon^SCGC^AAA011-F07	Contig		
913336	GCA_000382725.2	Marine^Group^III^euryarchaeote^SCGC^AAA288-E19	Contig		
1032475	GCA_000382765.1	Marine^group^II^euryarchaeote^SCGC^AAA288-C18	Contig		
1316941	GCA_000385565.1	Archaeoglobus^sulfaticallidus^PM70-1	Complete Genome		
1294122	GCA_000387965.1	Candidatus^Nanobsidianus^stetteri	Contig		
1294123	GCA_000389735.1	Sulfolobales^archaeon^Acd1	Contig		
1052841	GCA_000398585.1	Aigarchaeota^archaeon^JGI^0000001-H6	Contig		
1131267	GCA_000399745.1	Marine^Group^I^thaumarchaeote^SCGC^AB-629-A13	Contig		
1131266	GCA_000399765.1	Marine^Group^I^thaumarchaeote^SCGC^AB-629-I23	Contig		
489138	GCA_000400975.1	Halarchaeum^acidiphilum^MH1-52-1	Contig		
913333	GCA_000402075.1	Thaumarchaeota^archaeon^SCGC^AAA007-O23	Contig		
1462419	GCA_000402355.1	Candidatus^Iainarchaeum^andersonii^SCGC^AAA011-E11	Contig		
1104580	GCA_000402475.1	Nanoarchaeota^archaeon^SCGC^AAA011-L15	Contig		
913322	GCA_000402775.1	Euryarchaeota^archaeon^SCGC^AAA252-I15	Contig		
1052803	GCA_000402895.1	Crenarchaeota^archaeon^SCGC^AAA471-C03	Contig		
1333523	GCA_000403645.1	Salinarchaeum^sp.^Harcht-Bsk1	Complete Genome		
224719	GCA_000404165.1	Methanobrevibacter^sp.^AbM4	Complete Genome		
1406512	GCA_000404225.1	Candidatus^Methanomassiliicoccus^intestinalis^Issoire-Mx1	Complete Genome		
1130284	GCA_000404305.1	Candidatus^Aenigmarchaeota^archaeon^JGI^0000106-F11	Contig		
743731	GCA_000404525.1	Diapherotrites^archaeon^SCGC^AAA011-N19	Contig		
1104575	GCA_000404545.1	Diapherotrites^archaeon^SCGC^AAA011-K09	Contig		
743729	GCA_000405225.1	Nanoarchaeota^archaeon^SCGC^AAA011-D5	Contig		
1462428	GCA_000405245.1	Candidatus^Aenigmarchaeum^subterraneum^SCGC^AAA011-O16	Contig		
1130285	GCA_000405685.1	Aigarchaeota^archaeon^JGI^0000106-J15	Contig		
1104571	GCA_000405745.1	Thaumarchaeota^archaeon^SCGC^AB-179-E04	Contig		
1325472	GCA_000415945.1	halophilic^archaeon^J07HX5	Scaffold		
293091	GCA_000415965.1	Haloquadratum^walsbyi^J07HQW1	Scaffold		
293091	GCA_000415985.1	Haloquadratum^walsbyi^J07HQW2	Scaffold		
1238426	GCA_000416005.1	Haloquadratum^sp.^J07HQX50	Scaffold		
1238428	GCA_000416045.1	Halorubrum^sp.^J07HR59	Scaffold		
1070774	GCA_000416065.1	Halonotius^sp.^J07HN4	Scaffold		
1085028	GCA_000416085.1	halophilic^archaeon^J07HX64	Scaffold		
1085029	GCA_000416105.1	halophilic^archaeon^J07HB67	Scaffold		
337243	GCA_000421805.1	Halorubrum^ezzemoulense^DSM^17463	Contig		
376171	GCA_000427685.1	Haloplanus^natans^DSM^17983	Scaffold		
913025	GCA_000430485.1	Thermococcus^sp.^PK	Scaffold		
71518	GCA_000430905.1	Methanocorpusculum^bavaricum^DSM^4179	Scaffold		
667135	GCA_000447225.1	Thermoplasmatales^archaeon^A-plasma	Contig		
1071085	GCA_000447865.2	haloarchaeon^3A1-DGR	Scaffold		
1293048	GCA_000455345.1	Halopiger^goleimassiliensis	Scaffold		
1293047	GCA_000455365.1	Halopiger^djelfimassiliensis	Scaffold		
1298898	GCA_000484915.1	Euryarchaeota^archaeon^SCGC^AAA286-E23	Contig		
1298895	GCA_000484935.1	Euryarchaeota^archaeum^SCGC^AAA287-E17	Contig		
1298894	GCA_000484955.1	Euryarchaeota^archaeum^SCGC^AAA287-N16	Contig		
1298885	GCA_000484975.1	Thaumarchaeota^archaeon^SCGC^AAA282-K18	Contig		
1379391	GCA_000494085.1	Nanoarchaeota^archaeon^JGI^OTU-2	Contig		
1379389	GCA_000494125.1	Thaumarchaeota^archaeon^JGI^OTU-4	Contig		
1379386	GCA_000494185.1	Thaumarchaeota^archaeon^JGI^OTU-3	Contig		
1431545	GCA_000495475.1	Candidatus^Halobonum^tyrrellensis^G22	Contig		
1410573	GCA_000495675.1	uncultured^Acidilobus^sp.^MG	Scaffold		
667137	GCA_000496135.1	Thermoplasmatales^archaeon^E-plasma	Scaffold		
261388	GCA_000496155.1	Ferroplasma^sp.^Type^II	Scaffold		
1412871	GCA_000496175.1	uncultured^archaeon^A07HR67	Scaffold		
1412872	GCA_000496195.1	uncultured^archaeon^A07HB70	Scaffold		
1412873	GCA_000496215.1	uncultured^archaeon^A07HN63	Scaffold		
1379702	GCA_000499765.1	Methanobacterium^sp.^MB1	Complete Genome		
2221	GCA_000504205.1	Methanolobus^tindarius^DSM^2278	Contig		
2285	GCA_000508305.1	Sulfolobus^acidocaldarius^SUSAZ	Complete Genome		
39441	GCA_000513315.1	Methanobrevibacter^arboriphilus^ANOR1	Scaffold		
1173487	GCA_000513435.1	Halorubrum^sp.^AJ67	Scaffold		
582419	GCA_000517445.1	Thermococcus^paralvinellae	Complete Genome		
353800	GCA_000517625.1	Halostagnicola^larsenii^XH-48	Complete Genome		
66851	GCA_000529525.1	Methanobrevibacter^oralis^JMR01	Scaffold		
1326980	GCA_000565255.1	Candidatus^Aramenus^sulfurataquae	Contig		
195522	GCA_000585495.1	Thermococcus^nautili	Complete Genome		
229980	GCA_000591035.1	Aeropyrum^camini^SY1^=^JCM^12091	Complete Genome		
416273	GCA_000591055.1	Natronomonas^moolapensis^8.8.11	Complete Genome		
190977	GCA_000621965.1	Methanobrevibacter^wolinii^SH	Scaffold		
1160895	GCA_000632495.1	Candidatus^Acidianus^copahuensis	Contig		
1392998	GCA_000685155.1	Candidatus^Methanoperedens^nitroreducens	Scaffold		
1353246	GCA_000685395.1	Candidatus^Nitrosotenuis^chungbukensis	Contig		
1416969	GCA_000690595.2	Haloterrigena^mahii	Scaffold		
1495067	GCA_000691505.2	Halostagnicola^sp.^A56	Contig		
1495314	GCA_000691865.1	Methanoculleus^sp.^MH98A	Contig		
1034015	GCA_000698785.1	Nitrososphaera^viennensis^EN76	Complete Genome		
453847	GCA_000710615.1	Haladaptatus^cibarius^D43	Contig		
2205	GCA_000711215.1	Methanomicrobium^mobile^BP	Contig		
660064	GCA_000711905.1	Methermicoccus^shengliensis^DSM^18856	Scaffold		
1407055	GCA_000723185.1	Candidatus^Nitrosotenuis^uzonensis	Contig		
1502292	GCA_000724145.1	Marine^Group^I^thaumarchaeote^SCGC^AAA799-E16	Scaffold		
971279	GCA_000725425.1	Palaeococcus^pacificus^DY20341	Complete Genome		
1508454	GCA_000730175.1	Haloferax^sp.^ATB1	Contig		
1459637	GCA_000730285.1	Candidatus^Nitrososphaera^evergladensis^SR1	Complete Genome		
222984	GCA_000731985.1	Natrinema^altunense	Contig		
1301915	GCA_000739065.1	Methanocaldococcus^bathoardescens	Complete Genome		
1380430	GCA_000739555.1	Halolamina^rubra	Contig		
1448860	GCA_000739575.1	Halobellus^rufus	Contig		
413816	GCA_000739595.1	Halorubrum^halophilum	Contig		
1406378	GCA_000740075.1	Nanohaloarchaea^archaeon^AB578-D14	Contig		
1495336	GCA_000744455.1	Methanobacterium^sp.^SMA-27	Contig		
386456	GCA_000746075.1	Methanobacterium^arcticum	Scaffold		
1498500	GCA_000746205.1	Halorubrum^sp.^BV1	Scaffold		
1502290	GCA_000746695.1	Marine^Group^I^thaumarchaeote^SCGC^AAA799-D07	Contig		
1502294	GCA_000746705.1	Marine^Group^I^thaumarchaeote^SCGC^AAA799-O18	Scaffold		
1457250	GCA_000755225.1	Halapricum^salinum	Contig		
1264579	GCA_000755245.1	Halococcus^sediminicola	Contig		
2162	GCA_000762265.1	Methanobacterium^formicicum	Complete Genome		
2226	GCA_000765475.1	Methanococcoides^methylutens	Contig		
1505907	GCA_000769655.1	Thermococcus^eurythermalis	Complete Genome		
1202768	GCA_000784335.1	Halopiger^salifodinae	Scaffold		
230356	GCA_000784355.1	Methanolacinia^paynteri	Scaffold		
565033	GCA_000789255.1	Geoglobus^acetivorans	Complete Genome		
1577791	GCA_000800805.1	Candidatus^Methanoplasma^termitum	Complete Genome		
1353260	GCA_000802205.2	Candidatus^Nitrosocosmicus^oleophilus	Complete Genome		
1579368	GCA_000805915.1	archaeon^GW2011_AR6	Scaffold		
1579374	GCA_000805925.1	archaeon^GW2011_AR16	Scaffold		
1579369	GCA_000805935.1	archaeon^GW2011_AR9	Scaffold		
1579372	GCA_000805965.1	archaeon^GW2011_AR13	Scaffold		
1579375	GCA_000805995.1	archaeon^GW2011_AR17	Scaffold		
1579377	GCA_000806015.1	archaeon^GW2011_AR19	Scaffold		
1579379	GCA_000806035.1	archaeon^GW2011_AR21	Scaffold		
1579364	GCA_000806055.1	archaeon^GW2011_AR1	Scaffold		
1579365	GCA_000806075.1	archaeon^GW2011_AR3	Scaffold		
1579366	GCA_000806095.1	archaeon^GW2011_AR4	Scaffold		
1579367	GCA_000806115.1	archaeon^GW2011_AR5	Scaffold		
1579371	GCA_000806135.1	archaeon^GW2011_AR11	Scaffold		
1579376	GCA_000806155.1	archaeon^GW2011_AR18	Scaffold		
1410606	GCA_000812185.1	Candidatus^Nitrosopelagicus^brevis	Complete Genome		
1365176	GCA_000813245.1	Thermofilum^adornatus^1505	Complete Genome		
110164	GCA_000816105.1	Thermococcus^guaymasensis^DSM^11113	Complete Genome		
866790	GCA_000828575.1	Methanothermobacter^sp.^CaT2	Complete Genome		
1579370	GCA_000830275.1	archaeon^GW2011_AR10	Complete Genome		
1579373	GCA_000830295.1	archaeon^GW2011_AR15	Chromosome		
1579378	GCA_000830315.1	archaeon^GW2011_AR20	Complete Genome		
1582439	GCA_000875775.1	Nitrosopumilus^piranensis	Complete Genome		
1293648	GCA_000949015.1	Acidiplasma^sp.^MBA-1	Contig		
1603555	GCA_000955905.3	Candidatus^Nitrosotenuis^cloacae	Complete Genome		
1580092	GCA_000956175.1	Nitrosopumilus^adriaticus	Complete Genome		
1609231	GCA_000960865.1	Vulcanisaeta^sp.^AZ3	Contig		
1609232	GCA_000960885.1	Thermoproteus^sp.^AZ2	Contig		
115547	GCA_000965745.1	uncultured^archaeon	Chromosome		
83868	GCA_000966265.1	Palaeococcus^ferrophilus^DSM^13482	Contig		
2210	GCA_000969885.1	Methanosarcina^thermophila^TM-1	Complete Genome		
1434099	GCA_000969945.1	Methanosarcina^sp.^Kolksee	Complete Genome		
1434102	GCA_000970005.1	Methanosarcina^sp.^WH1	Complete Genome		
